d,L,Q,Av,Median
4,7,0.362766,0.145956,0.05876669999999999
4,7,0.363599,0.14638800000000002,0.059373800000000004
4,7,0.364431,0.14682,0.0598322
4,7,0.365264,0.147253,0.0604965
4,7,0.366097,0.14768699999999998,0.06099059999999999
4,7,0.36693000000000003,0.148121,0.0612475
4,7,0.367763,0.148556,0.0615644
4,7,0.368596,0.148992,0.06206180000000001
4,7,0.369429,0.149429,0.0624563
4,7,0.370262,0.149866,0.0628667
4,7,0.371095,0.150305,0.0633128
4,7,0.37192800000000004,0.15074400000000002,0.06349880000000001
4,7,0.372761,0.15118399999999999,0.06391319999999999
4,7,0.373594,0.151625,0.0644303
4,7,0.374427,0.152066,0.0649937
4,7,0.37526,0.152509,0.0652909
4,7,0.376093,0.152952,0.0655895
4,7,0.37692600000000004,0.153396,0.0659964
4,7,0.377759,0.153841,0.0664115
4,7,0.378592,0.15428699999999998,0.0668762
4,7,0.379425,0.15473299999999998,0.06725830000000001
4,7,0.380258,0.15518099999999999,0.0680728
4,7,0.381091,0.155629,0.0691479
4,7,0.381924,0.156078,0.0697893
4,7,0.382757,0.156528,0.0702963
4,7,0.38359,0.156979,0.0705729
4,7,0.384423,0.157431,0.07066610000000001
4,7,0.385256,0.157883,0.0714331
4,7,0.38608899999999996,0.15833699999999998,0.0723797
4,7,0.386922,0.15879100000000002,0.07296330000000001
4,7,0.387755,0.159247,0.07364839999999999
4,7,0.388588,0.15970299999999998,0.0741967
4,7,0.389421,0.16016,0.07477639999999999
4,7,0.390254,0.160618,0.07542919999999999
4,7,0.39108699999999996,0.161077,0.0758255
4,7,0.39192,0.161537,0.07631239999999999
4,7,0.392753,0.161998,0.07653969999999999
4,7,0.393586,0.162459,0.0770627
4,7,0.394419,0.162922,0.0777623
4,7,0.395252,0.163385,0.0785141
4,7,0.39608499999999996,0.16385,0.07893739999999999
4,7,0.396918,0.16431600000000002,0.0794525
4,7,0.397751,0.16478299999999999,0.0798138
4,7,0.398584,0.16525,0.0802381
4,7,0.399417,0.165719,0.0804654
4,7,0.40025,0.166188,0.0807602
4,7,0.40108299999999997,0.166659,0.08132610000000001
4,7,0.401916,0.167131,0.08189060000000001
4,7,0.40274899999999997,0.167603,0.08249839999999999
4,7,0.403582,0.168077,0.0828931
4,7,0.404415,0.168552,0.0840769
4,7,0.405248,0.169027,0.0844503
4,7,0.40608099999999997,0.169504,0.08489760000000002
4,7,0.406914,0.169982,0.0853985
4,7,0.40774699999999997,0.170462,0.0857375
4,7,0.40858,0.170942,0.08604860000000002
4,7,0.409413,0.171423,0.086482
4,7,0.410246,0.171906,0.0869034
4,7,0.41107899999999997,0.17238900000000001,0.0878405
4,7,0.411912,0.172874,0.0883084
4,7,0.412745,0.17335899999999999,0.0889173
4,7,0.413578,0.173846,0.08942539999999999
4,7,0.414411,0.174335,0.0898297
4,7,0.41524399999999995,0.174824,0.0902487
4,7,0.41607700000000003,0.175314,0.0908783
4,7,0.41691000000000006,0.175806,0.0912692
4,7,0.41774300000000003,0.176299,0.0917931
4,7,0.418576,0.176793,0.0920326
4,7,0.41940900000000003,0.177289,0.09236
4,7,0.420242,0.177785,0.09272029999999999
4,7,0.421075,0.178283,0.0928947
4,7,0.421908,0.178783,0.09329939999999999
4,7,0.422741,0.179283,0.093806
4,7,0.42357399999999995,0.179785,0.0942132
4,7,0.42440600000000006,0.180289,0.0948512
4,7,0.42523900000000003,0.180794,0.0952158
4,7,0.426072,0.1813,0.09568589999999999
4,7,0.42690500000000003,0.181807,0.0961072
4,7,0.427738,0.182316,0.0966598
4,7,0.428571,0.182826,0.0972496
4,7,0.429404,0.183337,0.0984727
